sdid_estimate,standard_error
0.2546314,0.0009976
0.2588761,0.000501
0.2564156,0.0004174
0.2619174,0.0002278
0.2595927,0.0004436
0.2578757,0.0014354
0.2532889,0.0019645
0.2572864,0.0017316
0.2572266,0.0033395
0.2609209,0.0003564
0.2559,0.0010592
0.262176,0.0009651
0.2551936,0.0022322
0.2556362,0.0006697
0.2642443,0.0009867
0.2580977,0.0006245
0.2581549,0.0016939
0.2603915,0.0010941
0.2603389,0.0002902
0.258082,0.0010535
0.2578032,0.0009616
0.2627569,0.0004732
0.2566378,0.0003279
0.2566297,0.0035885
0.2562547,0.0001736
0.2560723,6.16E-07
0.2548724,0.002287
0.2574735,0.0006968
0.2594726,0.0014525
0.2528539,0.0037765
0.2563273,0.0006137
0.2609807,0.0000707
0.2552963,0.0026419
0.2612546,0.0003007
0.2544389,0.0013521
0.2561476,0.0008936
0.2592846,0.0003227
0.2632305,0.0013041
0.2556627,0.0020972
0.259631,0.0020607
0.2610554,0.0010012
0.2569569,0.0008114
0.2603758,0.0021358
0.2574218,0.0003606
0.2564028,0.0008821
0.2602903,0.0012914
0.2573385,0.0013994
0.2542728,0.0012697
0.2568647,0.0002912
0.2639147,0.0022268
0.2585928,0.002609
0.2577265,0.0015358
0.2587637,0.0007027
0.2598688,0.0003807
0.263386,0.0022023
0.2552637,0.0000795
0.2634636,0.0001479
0.2615504,0.0006155
0.2547373,0.0007177
0.2584624,0.0006631
0.2593545,0.0010599
0.2553073,0.0000497
0.2575171,0.0001123
0.2634529,0.0008174
0.2593845,0.0006054
0.2577689,0.0023263
0.2591986,0.0007677
0.2576997,0.0015042
0.264747,0.0005109
0.2606848,0.000525
0.2587885,0.0023452
0.2535919,0.0021272
0.2570086,0.0009304
0.2592424,0.0003998
0.2587877,0.0002049
0.2584862,0.0004889
0.2611302,0.0018871
0.2583554,0.0014612
0.2595931,0.0004366
0.2564243,0.0000229
0.2562238,0.0008935
0.2559008,0.000465
0.2583874,0.0003009
0.2531971,0.0030839
0.2632073,0.0003313
0.2591746,0.0006211
0.2603121,0.0001854
0.2564632,0.0004265
0.2603609,0.0016941
0.2601573,0.0010335
0.2558189,0.0004564
0.2403141,0.0023925
0.2561892,0.0000642
0.2592381,0.0006282
0.257477,0.0025573
0.2554223,0.0005342
0.2586255,0.0010524
0.2582184,0.0016315
0.2587449,0.0014536
0.2591045,0.0014968
0.2579835,0.000798
0.2601556,0.0001084
0.2607761,0.0008222
0.2576967,0.00207
0.2632552,0.0004458
0.2582671,0.0006358
0.2588779,0.0012796
0.2547117,0.0007494
0.2592734,0.0005955
0.2589644,0.0015755
0.2592667,0.001162
0.2601182,0.0014332
0.255546,0.0009555
0.264094,0.0013982
0.2579639,0.0001315
0.2594848,0.000893
0.2588123,0.000643
